filename,width,height,class,xmin,ymin,xmax,ymax
B-DEV2AIcAAKDny.jpg,800,800,drone,5,184,800,623
b530647353f105c5588315b151b520b7.jpg,564,637,drone,15,31,531,596
b66590801e66e52e39c71a3e31726405_display_large_large.jpg,480,480,drone,1,130,468,392
B9714441910Z.1_20180117120147_000+G8OAGTHIK.1-0.jpg,1350,759,drone,142,140,1209,623
B9717518286Z.1_20181107143824_000+GDSCCIC9H.1-0.jpg,1350,759,drone,50,2,1058,737
B9720382214Z.1_20190725224400_000+G2VE4S8V3.1-0.jpg,1348,759,drone,68,4,1263,727
baa609600a8ae7d5fd5afd1b6114b248.jpg,298,298,drone,13,69,249,216
baa7c9b4-4a6a-11e6-bde2-88ea9f1c6889_image_hires.jpg,1551,1080,drone,507,309,940,570
bayangtoys-x21-06.jpg,800,535,drone,2,39,800,493
bdeadc0c9f_50156274_2-uber-eats-drone-livraison.jpg,1687,1054,drone,64,63,1594,902
be011be9ae499640b27e02bc8b5ab38f.jpg,564,564,drone,53,90,523,478
bedeed3fe1ca68acc8b0a244060824a3.jpg,564,351,drone,57,111,510,265
best-mini-drone-reviews.jpg,650,503,drone,75,63,574,446
Best-Mini-Drones-in-2018.jpg,1150,575,drone,116,76,1029,406
bf8453d4581f119e36ac13ab80d1328c.jpg,220,181,drone,6,12,213,157
blh01000eu_copy_1.jpg,0,0,drone,16,37,160,89
blog-dslrpros-1-2.jpg,870,500,drone,203,105,818,288
boeing-drone-en-vol.jpg,1212,712,drone,118,124,1025,634
bourdon-blanc-dans-le-ciel-battant-quadrocopter-drone-dans-le-ciel-avec-gopro-monte-appareil-photo-numerique-pour-la-video-et-photo-productions-kj80c9.jpg,1300,855,drone,353,200,906,599
brushed-y6-micro-quad-3d-model_200.jpg,250,250,drone,1,1,250,227
bss-holland-hover-mas.jpg,621,335,drone,169,51,472,251
burritos-delivered-by-drone-alphabet_s-project-wing-in-south-eastern-australia-6.jpg,1600,899,drone,160,1,1547,603
byydwapyaqqadbconr8w.jpg,620,315,drone,39,30,585,284
c2be6b1003a8ee560122af4f36392d3b.jpg,400,166,drone,21,9,393,137
c3fd238d8d098e6a59e1aefccddb9411.jpg,564,293,drone,29,25,541,273
c46b3bb4ce8483d6c540a280fa85359f.jpg,500,292,drone,1,9,494,287
c5ffc0b9f216b4d5ef06ae2ba007d1f5.jpg,1263,1070,drone,46,37,1212,1052
c673061690da1b3159c5090f6aa78785.jpg,236,236,drone,3,36,230,196
c68a891576a257868c9b5978062b9dc0.jpg,564,564,drone,1,93,564,508
c6cc3e006c6825bd4f85c91e5ef0a820.jpg,550,294,drone,1,22,550,276
c7ddb9a670b9227a2b00051e4be5645c.jpg,800,600,drone,58,35,770,546
c86865e87763af4fd2de6a276f314a3e.jpg,564,338,drone,12,27,564,312
c8d209bdf8d928ee36afc7a818ed0063.jpg,355,355,drone,34,10,339,331
c9bf9a941e60bf897def1c39473dc.jpg,1256,708,drone,165,84,1109,550
c9cd0c60a713c1b5a0334a57721c6.jpg,320,225,drone,1,51,294,162
ca0a5ec9592e60eed2bb24d9aceae355 - Copy (2).jpg,317,404,drone,24,69,280,305
ca0a5ec9592e60eed2bb24d9aceae355 - Copy.jpg,227,223,drone,1,5,213,210
ca0a5ec9592e60eed2bb24d9aceae355.jpg,283,273,drone,4,1,264,230
Camera-Drone-3D-2MP-RC-Model-2-4G-8CH-6-Axis-Plane-Model-Roll-High-Speed.jpg,800,800,drone,14,214,788,597
camera-drone-flying-1336185-740x493.jpg,740,493,drone,177,153,698,298
capstone11-1.jpg,381,254,drone,102,82,277,182
Capture-d’écran-2018-02-07-à-14.34.59.jpg,841,851,drone,13,232,789,699
cca3237fd72114d2ffae87a461a463fc.jpg,564,286,drone,85,63,480,245
cd17ac7ea32604f88564dff62db2deb8.jpg,355,355,drone,27,68,326,303
ce-drone-peut-eviter-des-objets-millisecondes.jpg,879,844,drone,40,247,341,519
ce9ef8b9cb_130761_drone-laser-us-army.jpg,1600,1000,drone,94,127,1479,769
cf30fba5aac1242d5da1097f0f268a69.jpg,680,355,drone,75,22,680,216
Cheerson-CX-10C-Mini-Quadcopter-best-micro-drone-1-300x214.jpg,300,214,drone,21,9,274,210
Cheerson_CX_10D_CX10D_Mini_2.4G_6_axis_Altitude_Hold_Mode_LED_RC_Quadcopter__26100.1509962374.1280.1280_1024x.jpg,518,468,drone,19,12,500,451
circle-dancer-3000-full-house-electric-v2.jpg,1606,1049,drone,263,172,1441,897
ClFncM2WkAA44Ny.jpg,1200,662,drone,58,137,1187,549
ClFncM2WkAA44Ny.jpg,1200,662,drone,487,1,749,93
Closeup-Movement-Shot-SAR.jpg,3840,2160,drone,690,273,2606,1520
cls.jpg,750,480,drone,1,56,750,397
COkHVegUkAAgvpD.jpg,1200,800,drone,3,253,1200,661
comparatif-drone-avec-camera.jpg,1200,525,drone,56,99,890,484
cover-r4x3w1000-5798890054ed7-un-drone-civil.jpg,1000,496,drone,246,82,774,344
cover-r4x3w1000-5835b5b463762-Drones.jpg,1000,750,drone,272,189,972,563
cover-r4x3w1000-594d34fc7c15f-img02-fcas-def.jpg,1000,750,drone,101,87,949,634
coverage2.jpg,800,800,drone,424,129,764,687
criancas-zangao-controle-remoto-presente-brinquedo-de-video-wi-fi-fpv-camera-angulo-ajustavel-altitude-hold-criancas-dual-gps-qu.jpg,240,240,drone,5,40,240,198
Crédit-photos-Ciel-Studio@Delta-Drone_2.jpg,800,533,drone,14,84,791,506
CvniJuUXYAAWbNK.jpg,1200,800,drone,17,130,1191,718
d18db7e9f5f8995cfc2bda509144780d.jpg,563,390,drone,16,15,531,374
d29419979f6a649c8d60da4b23244c69--camara-hd-drone-quadcopter.jpg,236,146,drone,5,12,234,137
d5d07238dbcfc74588a54f1ec6af47d1.jpg,564,376,drone,75,69,477,307
d74c7e21b6ebea7aa40efb0da5fb7dfc.jpg,119,102,drone,3,23,111,94
d85a31dfdf01ee71528542a5fd858377.jpg,628,472,drone,138,68,502,403
d8d896c52f8e508bcd4dbe0654ea9f9e.jpg,564,418,drone,12,21,556,407
d8fbcf_1a4ed692d0eb4e3993f18c7fb8d2674fmv2_d_8272_6200_s_4_2.jpg,1000,750,drone,149,181,876,602
daabfd97df0d69b3f558b6a490f1432b40374.jpg,374,231,drone,5,7,374,224
dab142d352a9f6a6aae1c492d83fc941_display_large.jpg,1024,683,drone,186,72,544,633
Db9G6d0UQAAuuTI.jpg,1200,900,drone,144,86,1066,846
dbeb39590195af7ce8bc6755a05aee00.jpg,600,315,drone,11,29,572,281
dc1176c796bc422050a26f3cdb87367c.jpg,564,564,drone,5,102,558,480
dc538027967987e9c072f12fb3c37fdc.jpg,564,564,drone,1,1,564,409
dc62b22d04839ad4fdfcb39ad3715b42.jpg,236,236,drone,20,46,215,191
dc6602f2ee064617c0ce0dd50fedfd0c.jpg,370,208,drone,101,71,285,132
dd09798e-e4b1-46ca-8fa0-fb5ef42e15b7.jpg,802,682,drone,1,17,772,624
dd2.jpg,800,533,drone,3,204,762,470
DDC_Sparrow_small.jpg,449,229,drone,70,42,364,207
DeliverFuture_DHL-1024x683.jpg,1024,683,drone,212,265,716,432
delta-drone-95953.jpg,500,247,drone,10,35,500,221
deltadrone (1).jpg,612,306,drone,217,73,387,194
deltadrone-290915.jpg,443,335,drone,3,38,443,325
deltax-01.jpg,818,600,drone,29,50,771,540
depositphotos_106483282-stock-photo-autonomous-unmanned-drone-with-surveillance.jpg,1023,739,drone,53,138,1013,622
depositphotos_168437374-stock-video-flying-drone-in-sky.jpg,608,203,drone,73,64,537,179
depositphotos_214636030-stock-photo-unmanned-military-drone-aircraft-landing.jpg,450,300,drone,25,82,354,231
detail_Draganflyer-X-4-ES-900x636.jpg,768,543,drone,12,107,756,448
detail_neuron-2.jpg,453,320,drone,64,42,444,290
diatone-2019-gt-r249-hd-edition-25-inch-4s-fpv-racing-rc-drone-pnp-runcam.jpg,500,352,drone,27,23,465,352
diatone-gt-rabbit-r239-2inch-micro-brushless-3s-fpv-racing-drone-pnp-6.jpg,573,355,drone,36,11,532,344
Diatone-GTB229-Toothpick-micro-quad.jpg,837,528,drone,14,17,797,522
